date time unix_time bits_sent
2022-11-19 20:33:15 1668889995 12176
2022-11-19 20:30:15 1668889815 12504
2022-11-19 20:27:15 1668889635 12168
2022-11-19 20:24:15 1668889455 16048
2022-11-19 20:21:15 1668889275 12184
2022-11-19 20:18:16 1668889096 12256
2022-11-19 20:15:15 1668888915 12232
2022-11-19 20:12:15 1668888735 15736
2022-11-19 20:09:15 1668888555 12704
2022-11-19 20:06:15 1668888375 12040
2022-11-19 20:03:15 1668888195 15928
2022-11-19 20:00:16 1668888016 15856
2022-11-19 19:57:16 1668887836 12240
2022-11-19 19:54:15 1668887655 12096
2022-11-19 19:51:15 1668887475 12448
2022-11-19 19:48:15 1668887295 15176
2022-11-19 19:45:15 1668887115 12264
2022-11-19 19:42:15 1668886935 12024
2022-11-19 19:39:15 1668886755 12432
2022-11-19 19:36:15 1668886575 15912
2022-11-19 19:33:15 1668886395 12216
2022-11-19 19:30:15 1668886215 12376
2022-11-19 19:27:15 1668886035 11792
2022-11-19 19:24:15 1668885855 15816
2022-11-19 19:21:15 1668885675 12472
2022-11-19 19:18:15 1668885495 12288
2022-11-19 19:15:15 1668885315 12216
2022-11-19 19:12:15 1668885135 15632
2022-11-19 19:09:15 1668884955 12664
2022-11-19 19:06:15 1668884775 12008
2022-11-19 19:03:15 1668884595 15864
2022-11-19 19:00:15 1668884415 15672
2022-11-19 18:57:15 1668884235 12408
2022-11-19 18:54:15 1668884055 12256
2022-11-19 18:51:15 1668883875 12184
2022-11-19 18:48:16 1668883696 15968
2022-11-19 18:45:15 1668883515 11936
2022-11-19 18:42:16 1668883336 12416
2022-11-19 18:39:15 1668883155 12376
2022-11-19 18:36:15 1668882975 14856
2022-11-19 18:33:15 1668882795 12968
2022-11-19 18:30:15 1668882615 11464
2022-11-19 18:27:15 1668882435 13016
2022-11-19 18:24:15 1668882255 11808
2022-11-19 18:21:15 1668882075 15384
2022-11-19 18:18:16 1668881896 12512
2022-11-19 18:15:15 1668881715 11896
2022-11-19 18:12:15 1668881535 12504
2022-11-19 18:09:15 1668881355 15736
2022-11-19 18:06:15 1668881175 12632
2022-11-19 18:03:15 1668880995 15392
2022-11-19 18:00:15 1668880815 12336
2022-11-19 17:57:15 1668880635 15776
2022-11-19 17:54:15 1668880455 11944
2022-11-19 17:51:15 1668880275 12488
2022-11-19 17:48:15 1668880095 12384
2022-11-19 17:45:15 1668879915 15352
2022-11-19 17:42:16 1668879736 12136
2022-11-19 17:39:15 1668879555 12312
2022-11-19 17:36:15 1668879375 12416
2022-11-19 17:33:15 1668879195 15464
2022-11-19 17:30:15 1668879015 12208
2022-11-19 17:27:15 1668878835 12368
2022-11-19 17:24:15 1668878655 12128
2022-11-19 17:21:15 1668878475 15968
2022-11-19 17:18:15 1668878295 12600
2022-11-19 17:15:15 1668878115 11872
2022-11-19 17:12:15 1668877935 12432
2022-11-19 17:09:15 1668877755 15688
2022-11-19 17:06:15 1668877575 12664
2022-11-19 17:03:15 1668877395 15440
2022-11-19 17:00:15 1668877215 12336
2022-11-19 16:57:15 1668877035 15696
2022-11-19 16:54:15 1668876855 11920
2022-11-19 16:51:15 1668876675 12472
2022-11-19 16:48:15 1668876495 12328
2022-11-19 16:45:16 1668876316 15872
2022-11-19 16:42:15 1668876135 12136
2022-11-19 16:39:15 1668875955 11704
2022-11-19 16:36:16 1668875776 13088
2022-11-19 16:33:15 1668875595 13056
2022-11-19 16:30:15 1668875415 14576
2022-11-19 16:27:15 1668875235 12344
2022-11-19 16:24:15 1668875055 12072
2022-11-19 16:21:15 1668874875 12528
2022-11-19 16:18:16 1668874696 15712
2022-11-19 16:15:15 1668874515 12088
2022-11-19 16:12:16 1668874336 12016
2022-11-19 16:09:15 1668874155 12616
2022-11-19 16:06:15 1668873975 15872
2022-11-19 16:03:15 1668873795 15664
2022-11-19 16:00:15 1668873615 12064
2022-11-19 15:57:15 1668873435 12664
2022-11-19 15:54:15 1668873255 15480
2022-11-19 15:51:15 1668873075 12544
2022-11-19 15:48:15 1668872895 12008
2022-11-19 15:45:15 1668872715 12656
2022-11-19 15:42:15 1668872535 15744
2022-11-19 15:39:15 1668872355 12376
2022-11-19 15:36:15 1668872175 12520
2022-11-19 15:33:15 1668871995 12040
2022-11-19 15:30:15 1668871815 15976
2022-11-19 15:27:15 1668871635 11488
2022-11-19 15:24:15 1668871455 11936
2022-11-19 15:21:15 1668871275 12488
2022-11-19 15:18:15 1668871095 15584
2022-11-19 15:15:15 1668870915 12472
2022-11-19 15:12:15 1668870735 11992
2022-11-19 15:09:15 1668870555 11976
2022-11-19 15:06:15 1668870375 16584
2022-11-19 15:03:15 1668870195 15328
2022-11-19 15:00:15 1668870015 12352
2022-11-19 14:57:15 1668869835 12304
2022-11-19 14:54:15 1668869655 15904
2022-11-19 14:51:15 1668869475 12184
